id	identifier	zh_name	en_name	category	cost	short_effect	zh_effect
275	flame-plate	火球石板	Flame Plate	Plates	1000	Held: Fire-Type moves from holder do 20% more damage. Changes Arceus’s and Judgment’s type to Fire.	火属性的石板。 携带后，火属性的 招式威力就会增强。
276	splash-plate	水滴石板	Splash Plate	Plates	1000	Held: Water-Type moves from holder do 20% more damage. Changes Arceus’s and Judgment’s type to Water.	水属性的石板。 携带后，水属性的 招式威力就会增强。
277	zap-plate	雷电石板	Zap Plate	Plates	1000	Held: Electric-Type moves from holder do 20% more damage. Changes Arceus’s and Judgment’s type to Electric.	电属性的石板。 携带后，电属性的 招式威力就会增强。
278	meadow-plate	碧绿石板	Meadow Plate	Plates	1000	Held: Grass-Type moves from holder do 20% more damage. Changes Arceus’s and Judgment’s type to Grass.	草属性的石板。 携带后，草属性的 招式威力就会增强。
279	icicle-plate	冰柱石板	Icicle Plate	Plates	1000	Held: Ice-Type moves from holder do 20% more damage. Changes Arceus’s and Judgment’s type to Ice.	冰属性的石板。 携带后，冰属性的 招式威力就会增强。
280	fist-plate	拳头石板	Fist Plate	Plates	1000	Held: Fighting-Type moves from holder do 20% more damage. Changes Arceus’s and Judgment’s type to Fighting.	格斗属性的石板。 携带后，格斗属性的 招式威力就会增强。
281	toxic-plate	剧毒石板	Toxic Plate	Plates	1000	Held: Poison-Type moves from holder do 20% more damage. Changes Arceus’s and Judgment’s type to Poison.	毒属性的石板。 携带后，毒属性的 招式威力就会增强。
282	earth-plate	大地石板	Earth Plate	Plates	1000	Held: Ground-Type moves from holder do 20% more damage. Changes Arceus’s and Judgment’s type to Ground.	地面属性的石板。 携带后，地面属性的 招式威力就会增强。
283	sky-plate	蓝天石板	Sky Plate	Plates	1000	Held: Flying-Type moves from holder do 20% more damage. Changes Arceus’s and Judgment’s type to Flying.	飞行属性的石板。 携带后，飞行属性的 招式威力就会增强。
284	mind-plate	神奇石板	Mind Plate	Plates	1000	Held: Psychic-Type moves from holder do 20% more damage. Changes Arceus’s and Judgment’s type to Psychic.	超能力属性的石板。 携带后，超能力属性的 招式威力就会增强。
285	insect-plate	玉虫石板	Insect Plate	Plates	1000	Held: Bug-Type moves from holder do 20% more damage. Changes Arceus’s and Judgment’s type to Bug.	虫属性的石板。 携带后，虫属性的 招式威力就会增强。
286	stone-plate	岩石石板	Stone Plate	Plates	1000	Held: Rock-Type moves from holder do 20% more damage. Changes Arceus’s and Judgment’s type to Rock.	岩石属性的石板。 携带后，岩石属性的 招式威力就会增强。
287	spooky-plate	妖怪石板	Spooky Plate	Plates	1000	Held: Ghost-Type moves from holder do 20% more damage. Changes Arceus’s and Judgment’s type to Ghost.	幽灵属性的石板。 携带后，幽灵属性的 招式威力就会增强。
288	draco-plate	龙之石板	Draco Plate	Plates	1000	Held: Dragon-Type moves from holder do 20% more damage. Changes Arceus’s and Judgment’s type to Dragon.	龙属性的石板。 携带后，龙属性的 招式威力就会增强。
289	dread-plate	恶颜石板	Dread Plate	Plates	1000	Held: Dark-Type moves from holder do 20% more damage. Changes Arceus’s and Judgment’s type to Dark.	恶属性的石板。 携带后，恶属性的 招式威力就会增强。
290	iron-plate	钢铁石板	Iron Plate	Plates	1000	Held: Steel-Type moves from holder do 20% more damage. Changes Arceus’s and Judgment’s type to Steel.	钢属性的石板。 携带后，钢属性的 招式威力就会增强。
291	odd-incense	奇异薰香	Odd Incense	Type enhancement	2000	Held: Psychic-Type moves from holder do 20% more damage. Breeding: Mr. Mime begets a Mime Jr. Egg.	有着神奇香气的薰香。 携带后，超能力属性的 招式威力就会提高。
292	rock-incense	岩石薰香	Rock Incense	Type enhancement	2000	Held: Rock-Type moves from holder do 20% more damage. Breeding: Sudowoodo begets a Bonsly Egg.	有着神奇香气的薰香。 携带后，岩石属性的 招式威力就会提高。
293	full-incense	饱腹薰香	Full Incense	Bad held items	5000	Held: Holder moves last in its priority bracket. Breeding: Snorlax begets a Munchlax Egg.	有着神奇香气的薰香。 携带后，宝可梦的行动 会比平时更加迟缓。
294	wave-incense	涟漪薰香	Wave Incense	Type enhancement	2000	Held: Water-Type moves from holder do 20% more damage. Breeding: Mantine begets a Mantyke Egg.	有着神奇香气的薰香。 携带后，水属性的 招式威力就会提高。
295	rose-incense	花朵薰香	Rose Incense	Type enhancement	2000	Held: Grass-Type moves from holder do 20% more damage. Breeding: Roselia or Roserade beget a Budew Egg.	有着神奇香气的薰香。 携带后，草属性的 招式威力就会提高。
296	luck-incense	幸运薰香	Luck Incense	Training	11000	Held: Doubles the money earned from a battle. Does not stack with Amulet Coin. Breeding: Chansey and Blissey beget a Happiny Egg.	只要携带它的宝可梦 在战斗时出场一次， 就能获得２倍金钱。
297	pure-incense	洁净薰香	Pure Incense	Training	6000	Prevents wild encounters of level lower than your party’s lead Pokémon. Breeding: Chimecho begets a Chingling Egg.	让排在最前面的宝可梦携带后， 野生宝可梦就会不容易出现。
298	protector	护具	Protector	Evolution	2000	Traded on a Rhydon: Holder evolves into Rhyperior.	某种护具。 非常坚硬而且沉重。 某种宝可梦很喜欢它。
299	electirizer	电力增幅器	Electirizer	Evolution	2000	Traded on an Electabuzz: Holder evolves into Electivire.	积蓄着庞大电气能量的箱子。 某种宝可梦很喜欢它。
300	magmarizer	熔岩增幅器	Magmarizer	Evolution	2000	Traded on a Magmar: Holder evolves into Magmortar.	积蓄着庞大熔岩能量的箱子。 某种宝可梦很喜欢它。
301	dubious-disc	可疑补丁	Dubious Disc	Evolution	2000	Traded on a Porygon2: Holder evolves into Porygon-Z.	内部储存了奇怪信息的透明机器。 制造者不明。
302	reaper-cloth	灵界之布	Reaper Cloth	Evolution	2000	Traded on a Dusclops: Holder evolves into Dusknoir.	蕴含着惊人强大灵力的布。 某种宝可梦很喜欢它。
303	razor-claw	锐利之爪	Razor Claw	Held items	5000	Held: Raises the holder’s critical hit ratio by one stage. Held by a Sneasel while levelling up at night: Holder evolves into Weavile.	尖锐的爪子。 携带后，招式会 变得容易击中要害。
304	razor-fang	锐利之牙	Razor Fang	Held items	5000	Held: Damaging moves gain a 10% chance to make their target flinch. Held by a Gligar while levelling up: Holder evolves into Gliscor.	尖锐的牙齿。 携带后，在给予伤害时， 有时会让对手畏缩。
305	tm01	招式学习器０１	TM01	All machines	40000	Teaches Hone Claws to a compatible Pokémon. (Gen IV & III: Focus Punch Gen II: DynamicPunch Gen I: Mega Punch)	使出力大无穷的重踢 踢飞对手进行攻击。
306	tm02	招式学习器０２	TM02	All machines	1000	Teaches Dragon Claw to a compatible Pokémon. (Gen II: Headbutt Gen I: Razor Wind)	向对手的身体 投掷小金币进行攻击。 战斗后可以拿到钱。
307	tm03	招式学习器０３	TM03	All machines	50000	Teaches Psyshock to a compatible Pokémon. (Gen IV & III: Water Pulse Gen II: Curse Gen I: Swords Dance)	用充满火焰的拳头攻击对手。 有时会让对手陷入灼伤状态。
308	tm04	招式学习器０４	TM04	All machines	50000	Teaches Calm Mind to a compatible Pokémon. (Gen II: Rollout Gen I: Whirlwind)	用充满寒气的拳头攻击对手。 有时会让对手陷入冰冻状态。
309	tm05	招式学习器０５	TM05	All machines	50000	Teaches Roar to a compatible Pokémon. (Gen I: Mega Kick)	用充满电流的拳头攻击对手。 有时会让对手陷入麻痹状态。
310	tm06	招式学习器０６	TM06	All machines	1000	Teaches Toxic to a compatible Pokémon.	第１回合飞上天空， 第２回合攻击对手。
311	tm07	招式学习器０７	TM07	All machines	1000	Teaches Hail to a compatible Pokémon. (Gen II: Zap Cannon Gen I: Horn Drill)	向对手发射 锐针进行攻击。 连续攻击２～５次。
312	tm08	招式学习器０８	TM08	All machines	50000	Teaches Bulk Up to a compatible Pokémon. (Gen II: Rock Smash Gen I: Body Slam)	向对手发射 强烈的光线进行攻击。 下一回合自己将无法动弹。
313	tm09	招式学习器０９	TM09	All machines	50000	Teaches Venoshock to a compatible Pokémon. (Gen IV & III: Bullet Seed Gen II: Psych Up Gen I: Take Down)	使出自己浑身力量突击对手。 下一回合自己将无法动弹。
314	tm10	招式学习器１０	TM10	All machines	1000	Teaches Hidden Power to a compatible Pokémon. (Gen I: Double-Edge)	散落可以追踪 对手的神奇叶片。 攻击必定会命中。
315	tm11	招式学习器１１	TM11	All machines	1000	Teaches Sunny Day to a compatible Pokémon. (Gen I: BubbleBeam)	第１回合收集满满的日光， 第２回合发射光束进行攻击。
316	tm12	招式学习器１２	TM12	All machines	50000	Teaches Taunt to a compatible Pokémon. (Gen II: Sweet Scent Gen I: Water Gun)	第１回合收集满满的日光， 第２回合将此力量 集中在剑上进行攻击。
317	tm13	招式学习器１３	TM13	All machines	10000	Teaches Ice Beam to a compatible Pokémon. (Gen II: Snore)	将对手困在 激烈的火焰旋涡中， 在４～５回合内进行攻击。
318	tm14	招式学习器１４	TM14	All machines	1000	Teaches Blizzard to a compatible Pokémon.	向对手发出 微弱的电击， 从而让对手陷入麻痹状态。
319	tm15	招式学习器１５	TM15	All machines	1000	Teaches Hyper Beam to a compatible Pokémon.	第１回合钻入， 第２回合攻击对手。
320	tm16	招式学习器１６	TM16	All machines	1000	Teaches Light Screen to a compatible Pokémon. (Gen II: Icy Wind Gen I: Pay Day)	发出不由自主想要 捂起耳朵的刺耳声， 从而大幅降低对手的防御。
321	tm17	招式学习器１７	TM17	All machines	10000	Teaches Protect to a compatible Pokémon. (Gen I: Submission)	利用神奇的墙壁， 在５回合内减弱从对手那里 受到的特殊攻击的伤害。
322	tm18	招式学习器１８	TM18	All machines	10000	Teaches Rain Dance to a compatible Pokémon. (Gen I: Counter)	利用神奇的墙壁， 在５回合内减弱从对手那里 受到的物理攻击的伤害。
323	tm19	招式学习器１９	TM19	All machines	10000	Teaches Telekinesis to a compatible Pokémon. (Gen IV & III & II: Giga Drain Gen I: Seismic Toss)	在５回合内 被神奇的力量守护， 从而不会陷入异常状态。
324	tm20	招式学习器２０	TM20	All machines	100000	Teaches Safeguard to a compatible Pokémon. (Gen II: Endure Gen I: Rage)	引发爆炸， 攻击自己周围所有的宝可梦。 使用后陷入濒死。
325	tm21	招式学习器２１	TM21	All machines	1000	Teaches Frustration to a compatible Pokémon. (Gen I: Mega Drain)	连续睡上２回合。 回复自己的全部ＨＰ 以及治愈所有异常状态。
326	tm22	招式学习器２２	TM22	All machines	1000	Teaches SolarBeam to a compatible Pokémon.	将大岩石 猛烈地撞向对手进行攻击。 有时会使对手畏缩。
327	tm23	招式学习器２３	TM23	All machines	10000	Teaches Smack Down to a compatible Pokémon. (Gen IV & III & II: Iron Tail Gen I: Dragon Rage)	攻击的同时盗取道具。 当自己携带道具时， 不会去盗取。
328	tm24	招式学习器２４	TM24	All machines	1000	Teaches Thunderbolt to a compatible Pokémon. (Gen II: DragonBreath)	在自己睡觉时， 发出噪音进行攻击。 有时会使对手畏缩。
329	tm25	招式学习器２５	TM25	All machines	10000	Teaches Thunder to a compatible Pokémon.	完全抵挡 对手的攻击。 连续使出则容易失败。
330	tm26	招式学习器２６	TM26	All machines	1000	Teaches Earthquake to a compatible Pokémon.	用恐怖的表情瞪着对手， 使其害怕， 从而大幅降低对手的速度。
331	tm27	招式学习器２７	TM27	All machines	1000	Teaches Return to a compatible Pokémon. (Gen I: Fissure)	将结冰的冷气 吹向对手进行攻击。 会降低对手的速度。
332	tm28	招式学习器２８	TM28	All machines	100000	Teaches Dig to a compatible Pokémon.	吸取对手的养分进行攻击。 可以回复给予对手 伤害的一半ＨＰ。
333	tm29	招式学习器２９	TM29	All machines	1000	Teaches Psychic to a compatible Pokémon.	可爱地凝视， 诱使对手疏忽大意， 从而大幅降低对手的攻击。
334	tm30	招式学习器３０	TM30	All machines	1000	Teaches Shadow Ball to a compatible Pokémon. (Gen I: Teleport)	用坚硬的翅膀敲打 对手进行攻击。 有时会提高自己的防御。
335	tm31	招式学习器３１	TM31	All machines	1000	Teaches Brick Break to a compatible Pokémon. (Gen II: Mud-Slap Gen I: Mimic)	♂诱惑♀或♀诱惑♂， 让对手着迷。 对手将很难使出招式。
336	tm32	招式学习器３２	TM32	All machines	10000	Teaches Double Team to a compatible Pokémon.	在５回合内扬起沙暴，除岩石、地面和 钢属性以外的宝可梦，都会受到伤害。 岩石属性的特防还会提高。
337	tm33	招式学习器３３	TM33	All machines	10000	Teaches Reflect to a compatible Pokémon. (Gen II: Ice Punch)	在５回合内一直降雨， 从而提高水属性的招式威力。 火属性的招式威力则降低。
338	tm34	招式学习器３４	TM34	All machines	10000	Teaches Sludge Wave to a compatible Pokémon. (Gen IV & III: Shock Wave Gen II: Swagger Gen I: Bide)	在５回合内让日照变得强烈， 从而提高火属性的招式威力。 水属性的招式威力则降低。
339	tm35	招式学习器３５	TM35	All machines	10000	Teaches Flamethrower to a compatible Pokémon. (Gen II: Sleep Talk Gen I: Metronome)	在５回合内一直降冰雹， 除冰属性的宝可梦以外， 给予全体宝可梦伤害。
340	tm36	招式学习器３６	TM36	All machines	1000	Teaches Sludge Bomb to a compatible Pokémon. (Gen I: Selfdestruct)	将对手困在激烈的 水流旋涡中， 在４～５回合内进行攻击。
341	tm37	招式学习器３７	TM37	All machines	1000	Teaches Sandstorm to a compatible Pokémon. (Gen I: Egg Bomb)	我方全员进行攻击。 同行的宝可梦越多， 招式的攻击次数越多。
342	tm38	招式学习器３８	TM38	All machines	1000	Teaches Fire Blast to a compatible Pokémon.	放出怪异的火焰， 从而让对手陷入灼伤状态。
343	tm39	招式学习器３９	TM39	All machines	1000	Teaches Rock Tomb to a compatible Pokémon. (Gen II & I: Swift)	当自己处于中毒、麻痹、灼伤状态时， 向对手使出此招式的话， 威力会变成２倍。
344	tm40	招式学习器４０	TM40	All machines	1000	Teaches Aerial Ace to a compatible Pokémon. (Gen II: Defense Curl Gen I: Skull Bash)	发射星形的光攻击对手。 攻击必定会命中。
345	tm41	招式学习器４１	TM41	All machines	10000	Teaches Torment to a compatible Pokémon. (Gen II: ThunderPunch Gen I: Softboiled)	帮助伙伴。 被帮助的宝可梦， 其招式威力变得比平时大。
346	tm42	招式学习器４２	TM42	All machines	1000	Teaches Facade to a compatible Pokémon. (Gen II & I: Dream Eater)	如果受到对手的招式攻击， 就能给予对手２倍的伤害。
347	tm43	招式学习器４３	TM43	All machines	1000	Teaches Flame Charge to a compatible Pokémon. (Gen IV & III: Secret Power Gen II: Detect Gen I: Sky Attack)	将手刀猛烈地挥下攻击对手。 还可以破坏光墙和反射壁等。
348	tm44	招式学习器４４	TM44	All machines	100000	Teaches Rest to a compatible Pokémon.	如果对手有和自己相同的招式， 那么只有对手无法使用该招式。
349	tm45	招式学习器４５	TM45	All machines	1000	Teaches Attract to a compatible Pokémon. (Gen I: Thunder Wave)	第１回合潜入， 第２回合浮上来进行攻击。
350	tm46	招式学习器４６	TM46	All machines	30000	Teaches Thief to a compatible Pokémon. (Gen I: Psywave)	根据使用时的天气， 招式属性和威力会改变。
351	tm47	招式学习器４７	TM47	All machines	1000	Teaches Low Sweep to a compatible Pokémon. (Gen IV & III & II: Steel Wing Gen I: Explosion)	装哭流泪。 使对手不知所措， 从而大幅降低对手的特防。
352	tm48	招式学习器４８	TM48	All machines	1000	Teaches Round to a compatible Pokémon. (Gen IV & III: Skill Swap Gen II: Fire Punch Gen I: Rock Slide)	投掷岩石进行攻击。 封住对手的行动， 从而降低速度。
353	tm49	招式学习器４９	TM49	All machines	1000	Teaches Echoed Voice to a compatible Pokémon. (Gen IV & III: Snatch Gen II: Fury Cutter Gen I: Tri Attack)	将对手困在 铺天盖地的沙暴中， 在４～５回合内进行攻击。
354	tm50	招式学习器５０	TM50	All machines	10000	Teaches Overheat to a compatible Pokémon. (Gen II: Nightmare Gen I: Substitute)	向对手猛烈地 发射种子进行攻击。 连续攻击２～５次。
355	tm51	招式学习器５１	TM51	All machines	1000	Teaches Ally Switch to a compatible Pokémon. (Gen IV: Roost)	向对手发射 锋利的冰柱进行攻击。 连续攻击２～５次。
356	tm52	招式学习器５２	TM52	All machines	100000	Teaches Focus Blast to a compatible Pokémon.	弹跳到高高的空中， 第２回合攻击对手。 有时会让对手陷入麻痹状态。
357	tm53	招式学习器５３	TM53	All machines	1000	Teaches Energy Ball to a compatible Pokémon.	向对手投掷 泥块进行攻击。 同时降低对手的速度。
358	tm54	招式学习器５４	TM54	All machines	1000	Teaches False Swipe to a compatible Pokémon.	向对手发射 坚硬的岩石进行攻击。 连续攻击２～５次。
359	tm55	招式学习器５５	TM55	All machines	10000	Teaches Scald to a compatible Pokémon. (Gen IV: Brine)	当对手的ＨＰ 负伤到一半左右时， 招式威力会变成２倍。
360	tm56	招式学习器５６	TM56	All machines	1000	Teaches Fling to a compatible Pokémon.	在攻击之后急速返回， 和后备宝可梦进行替换。
361	tm57	招式学习器５７	TM57	All machines	1000	Teaches Charge Beam to a compatible Pokémon.	蓄力攻击。 如果能在对手之后攻击， 招式的威力会变成２倍。
362	tm58	招式学习器５８	TM58	All machines	1000	Teaches Sky Drop to a compatible Pokémon. (Gen IV: Endure)	如果此回合内对手 已经受到伤害的话， 招式威力会变成２倍。
363	tm59	招式学习器５９	TM59	All machines	100000	Teaches Incinerate to a compatible Pokémon. (Gen IV: Dragon Pulse)	快速投掷携带的道具进行攻击。 根据道具不同， 威力和效果会改变。
364	tm60	招式学习器６０	TM60	All machines	30000	Teaches Quash to a compatible Pokémon. (Gen IV: Drain Punch)	利用超能力互换 自己和对手的攻击 以及特攻的能力变化。
365	tm61	招式学习器６１	TM61	All machines	30000	Teaches Will-O-Wisp to a compatible Pokémon.	利用超能力互换 自己和对手的防御 以及特防的能力变化。
366	tm62	招式学习器６２	TM62	All machines	30000	Teaches Acrobatics to a compatible Pokémon. (Gen IV: Silver Wind)	将对手和自己的速度 进行互换。
367	tm63	招式学习器６３	TM63	All machines	50000	Teaches Embargo to a compatible Pokémon.	用拳头吸取对手的力量。 可以回复给予对手 伤害的一半ＨＰ。
368	tm64	招式学习器６４	TM64	All machines	1000	Teaches Explosion to a compatible Pokémon.	如果受到对手的招式攻击， 就能给予该对手 ２倍威力的攻击。
369	tm65	招式学习器６５	TM65	All machines	1000	Teaches Shadow Claw to a compatible Pokémon.	以影子做成的锐爪， 劈开对手。 容易击中要害。
370	tm66	招式学习器６６	TM66	All machines	30000	Teaches Payback to a compatible Pokémon.	用蓄满电流的牙齿咬住对手。 有时会使对手畏缩 或陷入麻痹状态。
371	tm67	招式学习器６７	TM67	All machines	30000	Teaches Retaliate to a compatible Pokémon. (Gen IV: Recycle)	用藏有冷气的牙齿咬住对手。 有时会使对手畏缩 或陷入冰冻状态。
372	tm68	招式学习器６８	TM68	All machines	30000	Teaches Giga Impact to a compatible Pokémon.	用覆盖着火焰的牙齿咬住对手。 有时会使对手畏缩 或陷入灼伤状态。
373	tm69	招式学习器６９	TM69	All machines	1000	Teaches Rock Polish to a compatible Pokémon.	用实体化的 心之利刃劈开对手。 容易击中要害。
374	tm70	招式学习器７０	TM70	All machines	50000	Teaches Flash to a compatible Pokémon.	制造出离奇的空间。 在５回合内 速度慢的宝可梦可以先行动。
375	tm71	招式学习器７１	TM71	All machines	50000	Teaches Stone Edge to a compatible Pokémon.	制造出离奇的空间。 在５回合内互换 所有宝可梦的防御和特防。
376	tm72	招式学习器７２	TM72	All machines	50000	Teaches Volt Switch to a compatible Pokémon. (Gen IV: Avalanche)	制造出离奇的空间。 在５回合内所有宝可梦 携带道具的效果都会消失。
377	tm73	招式学习器７３	TM73	All machines	1000	Teaches Thunder Wave to a compatible Pokémon.	用毒刃劈开对手。 有时会让对手陷入中毒状态， 也容易击中要害。
378	tm74	招式学习器７４	TM74	All machines	1000	Teaches Gyro Ball to a compatible Pokémon.	将特殊的毒液泼向对手。 对处于中毒状态的对手， 威力会变成２倍。
379	tm75	招式学习器７５	TM75	All machines	1000	Teaches Swords Dance to a compatible Pokémon.	以敏捷的动作瞄准 对手的脚进行攻击。 降低对手的速度。
380	tm76	招式学习器７６	TM76	All machines	10000	Teaches Struggle Bug to a compatible Pokémon. (Gen IV: Stealth Rock)	用歌声攻击对手。 同伴还可以接着使出轮唱招式， 威力也会提高。
381	tm77	招式学习器７７	TM77	All machines	1000	Teaches Psych Up to a compatible Pokémon.	接二连三地进行攻击。 对处于异常状态的对手 给予较大的伤害。
382	tm78	招式学习器７８	TM78	All machines	1000	Teaches Bulldoze to a compatible Pokémon. (Gen IV: Captivate)	轻巧地攻击对手。 自己没有携带道具时， 会给予较大的伤害。
383	tm79	招式学习器７９	TM79	All machines	1000	Teaches Frost Breath to a compatible Pokémon. (Gen IV: Dark Pulse)	为倒下的同伴报仇。 如果上一回合有同伴倒下， 威力就会提高。
384	tm80	招式学习器８０	TM80	All machines	1000	Teaches Rock Slide to a compatible Pokémon.	在攻击之后急速返回， 和后备宝可梦进行替换。
385	tm81	招式学习器８１	TM81	All machines	1000	Teaches X-Scissor to a compatible Pokémon.	用力踩踏地面并攻击 自己周围所有的宝可梦。 降低对方的速度。
386	tm82	招式学习器８２	TM82	All machines	1000	Teaches Dragon Tail to a compatible Pokémon. (Gen IV: Sleep Talk)	用电网捉住对手进行攻击。 降低对手的速度。
387	tm83	招式学习器８３	TM83	All machines	100000	Teaches Work Up to a compatible Pokémon. (Gen IV: Natural Gift)	用锋利的贝壳切斩 对手进行攻击。 有时会降低对手的防御。
388	tm84	招式学习器８４	TM84	All machines	1000	Teaches Poison Jab to a compatible Pokémon.	用坚硬的尾巴 拍打对手进行攻击。 连续攻击２～５次。
389	tm85	招式学习器８５	TM85	All machines	1000	Teaches Dream Eater to a compatible Pokémon.	没完没了地大声斥责， 从而降低对手的特攻。
390	tm86	招式学习器８６	TM86	All machines	1000	Teaches Grass Knot to a compatible Pokémon.	第１回合消失在某处， 第２回合攻击对手。 可以无视守护进行攻击。
391	tm87	招式学习器８７	TM87	All machines	1000	Teaches Swagger to a compatible Pokémon.	用一个吻吸取对手的ＨＰ。 回复给予对手 伤害的一半以上的ＨＰ。
392	tm88	招式学习器８８	TM88	All machines	20000	Teaches Pluck to a compatible Pokémon.	在５回合内变成青草场地。 地面上的宝可梦每回合都能回复。 草属性的招式威力还会提高。
393	tm89	招式学习器８９	TM89	All machines	20000	Teaches U-turn to a compatible Pokémon.	在５回合内， 地面上的宝可梦不会陷入异常状态。 龙属性招式的伤害也会减半。
394	tm90	招式学习器９０	TM90	All machines	20000	Teaches Substitute to a compatible Pokémon.	在５回合内变成电气场地。 地面上的宝可梦将无法入眠。 电属性的招式威力还会提高。
395	tm91	招式学习器９１	TM91	All machines	20000	Teaches Flash Cannon to a compatible Pokémon.	在５回合内，地面上的宝可梦 不会受到先制招式的攻击。 超能力属性的招式威力会提高。
396	tm92	招式学习器９２	TM92	All machines	100000	Teaches Trick Room to a compatible Pokémon.	从口中喷出特别灼热的 火焰进行攻击。 降低对手的特攻。
397	hm01	秘传学习器０１	HM01	All machines	0	Teaches Cut to a compatible Pokémon.	ー ー ー
398	hm02	秘传学习器０２	HM02	All machines	0	Teaches Fly to a compatible Pokémon.	ー ー ー
399	hm03	秘传学习器０３	HM03	All machines	0	Teaches Surf to a compatible Pokémon.	ー ー ー
400	hm04	秘传学习器０４	HM04	All machines	0	Teaches Strength to a compatible Pokémon.	ー ー ー
401	hm05	秘传学习器０５	HM05	All machines	0	Teaches Waterfall to a compatible Pokémon. (HS: Whirlpool DPP: Defog Gen III & II & I: Flash)	ー ー ー
402	hm06	秘传学习器０６	HM06	All machines	0	Teaches Dive to a compatible Pokémon. (Gen IV & III: Rock Smash Gen II: Whirlpool)	ー ー ー
403	hm07	秘传学习器０７	HM07	All machines	0	Teaches a move to a compatible Pokémon. (Gen IV & III & II: Waterfall)	第１回合潜入， 第２回合浮上来进行攻击。
404	hm08	hm08	HM08	All machines	0	Teaches a move to a compatible Pokémon. (Gen IV: Rock Climb Gen III: Dive)	
405	explorer-kit	探险套装	Explorer Kit	Gameplay	0	Allows visiting the Underground.	装着有助于探险且 方便使用的道具的袋子。 有了它就可以进入地下通道。
406	loot-sack	宝物袋	Loot Sack	Unused	0	Carries coal mine loot.	结实的大袋子。 可以将在煤矿里 获得的宝物放进去。
407	rule-book	规则书	Rule Book	Unused	0	List of battle types and their rules.	写着对战规则。 在进行连接对战时， 可以选择规则。
408	poke-radar	宝可追踪	Poké Radar	Gameplay	0	Use to track down rare or shiny Pokémon. 50 steps to recharge.	能够将藏在草丛里的 宝可梦找出来的道具。 走路就能给电池充电。
409	point-card	点数卡	Point Card	Gameplay	0	Keeps count of Battle Points earned.	可以查看赢得的 对战点数的卡片。
410	journal	冒险笔记	Journal	Gameplay	0	Records prior significant activities the player took.	记录着到现在为止的 冒险经历的笔记。
411	seal-case	贴纸盒	Seal Case	Gameplay	0	Stores Seals that can be applied to Poké Ball capsules.	放有贴在球壳上的 贴纸的容器。
412	fashion-case	饰品盒	Fashion Case	Gameplay	0	Holds Pokémon Accessories for use in Contests.	漂亮精美的盒子。 可以存放宝可梦出演音乐剧时 用来装扮自己的多种小物件。
413	seal-bag	贴纸袋	Seal Bag	Unused	0	Holds ten Seals for Poké Balls.	可以放入１０张 贴纸的小袋子。
414	pal-pad	朋友手册	Pal Pad	Gameplay	0	Use to record Friend Codes and check your own.	使用方便的手册。 可以添加朋友或 记录游戏的内容。
415	works-key	发电厂钥匙	Works Key	Plot advancement	0	Grants access to Valley Windworks.	用来打开或关闭 山谷发电厂大门的大钥匙。 不知为何，它落入了银河队的手中。
416	old-charm	古代护符	Old Charm	Plot advancement	0	Trade to Cynthia’s grandmother in Celestic Town for HM04 (Surf).	要交给神和镇上长老的远古护符。 由宝可梦的骨头制成。
417	galactic-key	银河队钥匙	Galactic Key	Plot advancement	0	Grants access to Galactic HQ in Veilstone City.	用于解除银河队基地 安全防范系统的钥匙卡。 弄丢了的话，好像会受到惩罚。
418	red-chain	红色锁链	Red Chain	Unused	0	Used to bind Palkia and Dialga.	神话道具。 据说连接着孕育出 神奥地区的传说的宝可梦。
419	town-map	城镇地图	Town Map	Gameplay	0	Use to see the overworld map.	可以随时轻松 查看的便利地图。 也能清楚自己的位置。
420	vs-seeker	对战搜寻器	Vs. Seeker	Gameplay	0	Allows rebattling of on-screen trainers. 100 steps to recharge.	会告诉你想对战的 训练家在哪里的机器。 走路就能给电池充电。
421	coin-case	代币盒	Coin Case	Gameplay	0	Holds coins for the Game Corner.	可以存放代币的盒子。 最多能放入５００００枚 在游戏城获得的代币。
422	old-rod	破旧钓竿	Old Rod	Gameplay	0	Used to catch Pokémon in bodies of water.	又破又旧的钓竿。 在有水的地方使用的话， 可以钓到宝可梦。
423	good-rod	好钓竿	Good Rod	Gameplay	0	Used to catch Pokémon in bodies of water.	不错的新钓竿。 在有水的地方使用的话， 可以钓到宝可梦。
424	super-rod	厉害钓竿	Super Rod	Gameplay	0	Used to catch Pokémon in bodies of water.	最新的厉害钓竿。 在有水的地方使用的话， 可以钓到宝可梦。
425	sprayduck	可达鸭喷壶	Sprayduck	Gameplay	0	Used to water berries.	浇水的道具。 能让埋在松软土壤里的 树果快快长大。
426	poffin-case	宝芬盒	Poffin Case	Gameplay	0	Holds Poffins.	用来保存烹饪好的 宝芬的容器。
427	bicycle	bicycle	Bicycle	Gameplay	0	Use for fast transit.	
428	suite-key	房间钥匙	Suite Key	Event items	0	Opens a locked building in the Lakeside Resort.	湖畔高级宾馆的房间钥匙。 不知为何，它经常会丢失。
429	oaks-letter	大木的信	Oak’s Letter	Event items	0	Allows access to Seabreak path, Flower Paradise, and Shaymin.	大木博士的来信。 上面写着请来２２４号道路。
430	lunar-wing	新月之羽	Lunar Wing	Event items	0	Cures sailor’s son of nightmares in Canalave City.	散发着月辉般光芒的羽毛。 据说隐藏着可以驱散恶梦的力量。
